FilePath,Project,CatchQuantity,CatchSizeLOC,CatchSizeSLOC,CaughtExceptions,TotalPossibleExceptions,PercentageOfCaughtExceptions
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\Oracle9iDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\OracleLegacyDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\OracleLegacySqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\pagination\FirstLimitHandler.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\pagination\IngresLimitHandler.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\pagination\RowsLimitHandler.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\pagination\SkipFirstLimitHandler.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\pagination\TimesTenLimitHandler.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\PostgresPlusLegacyDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\PostgreSQL81Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\PostgreSQL82Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\PostgreSQL91Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\PostgreSQL92Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\PostgreSQL93Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\PostgreSQL94Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\PostgreSQL95Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\PostgreSQL9Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\PostgreSQLLegacyDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\PostgreSQLLegacySqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\RDMSOS2200Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\RDMSOS2200SqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\SAPDBDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\sequence\CacheSequenceSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\sequence\CUBRIDSequenceSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\sequence\FirebirdSequenceSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\sequence\InformixSequenceSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\sequence\IngresLegacySequenceSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\sequence\InterbaseSequenceSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\sequence\MaxDBSequenceSupport.java,hibernate-5.0,0,0,0,0,0,0.0
